"offense","offense_conference","defense","defense_conference","game_id","id","scoring","start_period","start_yardline","start_yards_to_goal","start_time.minutes","start_time.seconds","end_period","end_yardline","end_yards_to_goal","end_time.minutes","end_time.seconds","elapsed.minutes","elapsed.seconds","plays","yards","drive_result","week"
"Temple","American Athletic","East Carolina","American Athletic",401117874,"4011178748",TRUE,2,55,55,11,33,2,0,0,7,46,3,47,10,55,"TD",6
"East Carolina","American Athletic","Temple","American Athletic",401117874,"4011178749",TRUE,2,25,75,7,46,2,78,22,5,52,1,54,7,53,"FG",6
"UCF","American Athletic","Cincinnati","American Athletic",401117875,"4011178751",TRUE,1,77,77,15,0,1,7,7,11,46,3,14,12,70,"FG",6
"Cincinnati","American Athletic","UCF","American Athletic",401117875,"4011178752",FALSE,1,25,75,11,46,1,39,61,10,5,1,41,4,14,"PUNT",6
"UCF","American Athletic","Cincinnati","American Athletic",401117875,"4011178753",FALSE,1,85,85,10,5,1,9,9,4,46,5,19,16,76,"INT",6
"Cincinnati","American Athletic","UCF","American Athletic",401117875,"4011178754",FALSE,1,59,41,4,46,1,57,43,3,15,1,31,3,-2,"PUNT",6
"UCF","American Athletic","Cincinnati","American Athletic",401117875,"4011178755",FALSE,1,91,91,3,15,1,54,54,1,39,1,36,5,37,"PUNT",6
"Cincinnati","American Athletic","UCF","American Athletic",401117875,"4011178756",TRUE,1,21,79,1,39,2,79,21,12,8,4,31,10,58,"FG",6
"UCF","American Athletic","Cincinnati","American Athletic",401117875,"4011178757",TRUE,2,51,51,12,8,2,5,5,9,46,2,22,10,46,"FG",6
"Cincinnati","American Athletic","UCF","American Athletic",401117875,"4011178758",FALSE,2,25,75,9,46,2,33,67,8,51,NA,55,3,8,"PUNT",6
"UCF","American Athletic","Cincinnati","American Athletic",401117875,"4011178759",FALSE,2,78,78,8,51,2,78,78,8,47,NA,4,1,-3,"FUMBLE",6
"Connecticut","American Athletic","South Florida","American Athletic",401117876,"4011178761",FALSE,1,24,76,15,0,1,57,43,10,56,4,4,7,33,"PUNT",6
"South Florida","American Athletic","Connecticut","American Athletic",401117876,"4011178762",FALSE,1,80,80,10,56,1,75,75,9,23,1,33,3,5,"PUNT",6
"Connecticut","American Athletic","South Florida","American Athletic",401117876,"4011178763",FALSE,1,41,59,9,23,1,44,56,7,24,1,59,3,3,"PUNT",6
"South Florida","American Athletic","Connecticut","American Athletic",401117876,"4011178764",TRUE,1,88,88,7,24,1,0,0,3,22,4,2,10,88,"TD",6
"Connecticut","American Athletic","South Florida","American Athletic",401117876,"4011178765",FALSE,1,33,67,3,17,2,60,40,14,53,3,24,6,27,"PUNT",6
"South Florida","American Athletic","Connecticut","American Athletic",401117876,"4011178766",TRUE,2,85,85,14,53,2,0,0,11,46,3,7,7,85,"TD",6
"Connecticut","American Athletic","South Florida","American Athletic",401117876,"4011178767",TRUE,2,32,68,11,46,2,100,0,6,14,5,32,11,68,"TD",6
"South Florida","American Athletic","Connecticut","American Athletic",401117876,"4011178768",TRUE,2,31,31,6,14,2,0,0,4,39,1,35,4,31,"TD",6
"Connecticut","American Athletic","South Florida","American Athletic",401117876,"4011178769",TRUE,2,26,74,4,39,2,100,0,2,45,1,54,4,74,"TD",6
"Louisiana Monroe","Sun Belt","Memphis","American Athletic",401117877,"4011178771",FALSE,1,30,70,15,0,1,33,67,14,13,NA,47,3,3,"PUNT",6
"Memphis","American Athletic","Louisiana Monroe","Sun Belt",401117877,"4011178772",TRUE,1,75,75,14,13,1,0,0,12,18,1,55,6,75,"TD",6
"Louisiana Monroe","Sun Belt","Memphis","American Athletic",401117877,"4011178773",TRUE,1,8,92,12,18,1,82,18,5,25,6,53,16,74,"FG",6
"Memphis","American Athletic","Louisiana Monroe","Sun Belt",401117877,"4011178774",FALSE,1,83,83,5,25,1,66,66,2,20,3,5,5,17,"PUNT",6
"Louisiana Monroe","Sun Belt","Memphis","American Athletic",401117877,"4011178775",FALSE,1,24,76,2,20,1,44,56,0,34,1,46,5,20,"PUNT",6
"Memphis","American Athletic","Louisiana Monroe","Sun Belt",401117877,"4011178776",TRUE,1,92,92,0,34,2,0,0,13,46,1,48,6,92,"TD",6
"Louisiana Monroe","Sun Belt","Memphis","American Athletic",401117877,"4011178777",TRUE,2,25,75,13,46,2,100,0,11,12,2,34,6,75,"TD",6
"Memphis","American Athletic","Louisiana Monroe","Sun Belt",401117877,"4011178778",TRUE,2,75,75,11,12,2,0,0,7,30,3,42,8,75,"TD",6
"Memphis","American Athletic","Louisiana Monroe","Sun Belt",401117877,"4011178779",TRUE,2,54,54,7,30,2,0,0,5,1,2,29,6,54,"TD",6
"SMU","American Athletic","Tulsa","American Athletic",401117878,"4011178781",FALSE,1,24,76,15,0,1,28,72,13,10,1,50,3,4,"PUNT",6
"Tulsa","American Athletic","SMU","American Athletic",401117878,"4011178782",FALSE,1,64,64,13,10,1,46,46,10,53,2,17,4,18,"PUNT",6
"SMU","American Athletic","Tulsa","American Athletic",401117878,"4011178783",FALSE,1,20,80,10,53,1,34,66,9,15,1,38,5,14,"PUNT",6
"Tulsa","American Athletic","SMU","American Athletic",401117878,"4011178784",TRUE,1,78,78,9,15,1,48,48,8,13,1,2,5,30,"INT TD",6
"Tulsa","American Athletic","SMU","American Athletic",401117878,"4011178785",TRUE,1,53,53,8,13,1,15,15,4,16,3,57,9,38,"FG",6
"SMU","American Athletic","Tulsa","American Athletic",401117878,"4011178786",FALSE,1,28,72,4,16,1,45,55,2,1,2,15,4,17,"PUNT",6
"Tulsa","American Athletic","SMU","American Athletic",401117878,"4011178787",FALSE,1,82,82,2,1,1,39,39,1,8,NA,53,4,43,"INT",6
"SMU","American Athletic","Tulsa","American Athletic",401117878,"4011178788",FALSE,1,23,77,1,8,1,35,65,0,13,NA,55,4,12,"PUNT",6
"Tulsa","American Athletic","SMU","American Athletic",401117878,"4011178789",TRUE,1,69,69,0,13,2,3,3,13,46,1,27,4,69,"TD",6
"Ball State","Mid-American","Northern Illinois","Mid-American",401119272,"4011192721",FALSE,1,85,85,15,0,1,85,85,14,51,NA,9,1,0,"INT",6
"Northern Illinois","Mid-American","Ball State","Mid-American",401119272,"4011192722",TRUE,1,76,24,14,51,1,100,0,13,45,1,6,3,24,"TD",6
"Ball State","Mid-American","Northern Illinois","Mid-American",401119272,"4011192723",FALSE,1,75,75,13,45,1,72,72,12,35,1,10,3,3,"PUNT",6
"Northern Illinois","Mid-American","Ball State","Mid-American",401119272,"4011192724",TRUE,1,23,77,12,35,1,100,0,8,36,3,59,10,77,"TD",6
"Ball State","Mid-American","Northern Illinois","Mid-American",401119272,"4011192725",FALSE,1,75,75,8,36,1,70,70,6,40,1,56,5,5,"PUNT",6
"Northern Illinois","Mid-American","Ball State","Mid-American",401119272,"4011192726",FALSE,1,19,81,6,40,1,27,73,4,39,2,1,3,8,"PUNT",6
"Ball State","Mid-American","Northern Illinois","Mid-American",401119272,"4011192727",TRUE,1,76,76,4,39,2,6,6,14,52,4,47,14,70,"FG",6
"Northern Illinois","Mid-American","Ball State","Mid-American",401119272,"4011192728",FALSE,2,22,78,14,45,2,51,49,11,23,3,22,7,29,"PUNT",6
"Ball State","Mid-American","Northern Illinois","Mid-American",401119272,"4011192729",FALSE,2,83,83,11,23,2,76,76,9,57,1,26,3,7,"PUNT",6
"Central Michigan","Mid-American","Eastern Michigan","Mid-American",401119273,"4011192731",TRUE,1,25,75,15,0,1,100,0,12,21,2,39,7,75,"TD",6
"Eastern Michigan","Mid-American","Central Michigan","Mid-American",401119273,"4011192732",FALSE,1,75,75,12,21,1,40,40,9,12,3,9,8,35,"DOWNS",6
"Central Michigan","Mid-American","Eastern Michigan","Mid-American",401119273,"4011192733",FALSE,1,40,60,9,12,1,68,32,6,19,2,53,8,28,"MISSED FG",6
"Eastern Michigan","Mid-American","Central Michigan","Mid-American",401119273,"4011192734",TRUE,1,68,68,6,19,1,24,24,3,43,2,36,8,44,"FG",6
"Central Michigan","Mid-American","Eastern Michigan","Mid-American",401119273,"4011192735",FALSE,1,25,75,3,43,1,74,26,0,9,3,34,8,49,"MISSED FG",6
"Eastern Michigan","Mid-American","Central Michigan","Mid-American",401119273,"4011192736",FALSE,1,74,74,0,9,2,34,34,12,45,2,24,6,40,"INT",6
"Central Michigan","Mid-American","Eastern Michigan","Mid-American",401119273,"4011192737",TRUE,2,20,80,12,45,2,100,0,12,38,NA,7,1,80,"TD",6
"Eastern Michigan","Mid-American","Central Michigan","Mid-American",401119273,"4011192738",FALSE,2,75,75,12,38,2,68,68,11,5,1,33,3,7,"PUNT",6
"Central Michigan","Mid-American","Eastern Michigan","Mid-American",401119273,"4011192739",TRUE,2,26,74,11,5,2,100,0,10,31,NA,34,2,74,"TD",6
"Buffalo","Mid-American","Ohio","Mid-American",401119274,"4011192741",FALSE,1,25,75,15,0,1,93,7,11,5,3,55,7,68,"MISSED FG",6
"Ohio","Mid-American","Buffalo","Mid-American",401119274,"4011192742",FALSE,1,80,80,11,5,1,42,42,5,44,5,21,10,38,"PUNT",6
"Buffalo","Mid-American","Ohio","Mid-American",401119274,"4011192743",TRUE,1,10,90,5,44,2,100,0,12,30,8,14,15,90,"TD",6
"Ohio","Mid-American","Buffalo","Mid-American",401119274,"4011192744",FALSE,2,75,75,12,30,2,4,4,4,29,8,1,13,71,"DOWNS",6
"Buffalo","Mid-American","Ohio","Mid-American",401119274,"4011192745",FALSE,2,4,96,4,29,2,60,40,0,20,4,9,12,56,"DOWNS",6
"Ohio","Mid-American","Buffalo","Mid-American",401119274,"4011192746",FALSE,2,60,60,0,20,2,66,66,0,0,NA,20,1,-6,"END OF HALF",6
"Ohio","Mid-American","Buffalo","Mid-American",401119274,"4011192747",TRUE,3,78,78,14,55,3,0,0,10,44,4,11,8,78,"TD",6
"Buffalo","Mid-American","Ohio","Mid-American",401119274,"4011192748",FALSE,3,25,75,10,44,3,75,25,8,11,2,33,6,50,"FUMBLE",6
"Ohio","Mid-American","Buffalo","Mid-American",401119274,"4011192749",FALSE,3,75,75,8,11,3,22,22,1,49,6,22,12,53,"INT",6
"Toledo","Mid-American","Western Michigan","Mid-American",401119275,"4011192751",TRUE,1,20,80,15,0,1,100,0,12,3,2,57,6,80,"TD",6
"Western Michigan","Mid-American","Toledo","Mid-American",401119275,"4011192752",FALSE,1,70,70,11,58,1,68,68,11,7,NA,51,3,2,"PUNT",6
"Toledo","Mid-American","Western Michigan","Mid-American",401119275,"4011192753",TRUE,1,50,50,11,7,1,100,0,6,49,4,18,10,50,"TD",6
"Western Michigan","Mid-American","Toledo","Mid-American",401119275,"4011192754",TRUE,1,75,75,6,49,1,0,0,2,20,4,29,11,75,"TD",6
"Toledo","Mid-American","Western Michigan","Mid-American",401119275,"4011192755",FALSE,1,25,75,2,20,1,19,81,0,40,1,40,3,-6,"PUNT",6
"Western Michigan","Mid-American","Toledo","Mid-American",401119275,"4011192756",FALSE,1,62,62,0,40,2,51,51,13,50,1,50,6,11,"PUNT",6
"Toledo","Mid-American","Western Michigan","Mid-American",401119275,"4011192757",FALSE,2,43,57,13,50,2,70,30,13,5,NA,45,3,27,"INT",6
"Western Michigan","Mid-American","Toledo","Mid-American",401119275,"4011192758",FALSE,2,75,75,13,5,2,53,53,11,33,1,32,4,22,"PUNT",6
"Toledo","Mid-American","Western Michigan","Mid-American",401119275,"4011192759",TRUE,2,24,76,11,33,2,100,0,7,24,4,9,9,76,"TD",6
"Georgia Southern","Sun Belt","South Alabama","Sun Belt",401121948,"4011219481",FALSE,1,75,75,15,0,1,67,67,12,46,2,14,3,8,"PUNT",6
"South Alabama","Sun Belt","Georgia Southern","Sun Belt",401121948,"4011219482",FALSE,1,26,74,12,46,1,34,66,10,50,1,56,3,8,"PUNT",6
"Georgia Southern","Sun Belt","South Alabama","Sun Belt",401121948,"4011219483",FALSE,1,85,85,10,50,1,31,31,4,37,6,13,11,54,"MISSED FG",6
"South Alabama","Sun Belt","Georgia Southern","Sun Belt",401121948,"4011219484",FALSE,1,18,82,4,37,1,26,74,2,28,2,9,3,8,"PUNT",6
"Georgia Southern","Sun Belt","South Alabama","Sun Belt",401121948,"4011219485",TRUE,1,90,90,2,28,2,29,29,11,3,6,25,12,61,"FG",6
"South Alabama","Sun Belt","Georgia Southern","Sun Belt",401121948,"4011219486",TRUE,2,25,75,11,3,2,100,0,10,52,NA,11,1,75,"TD",6
"Georgia Southern","Sun Belt","South Alabama","Sun Belt",401121948,"4011219487",FALSE,2,65,65,10,52,2,41,41,6,25,4,27,8,24,"PUNT",6
"South Alabama","Sun Belt","Georgia Southern","Sun Belt",401121948,"4011219488",FALSE,2,20,80,6,25,2,17,83,4,52,1,33,3,-3,"PUNT",6
"Georgia Southern","Sun Belt","South Alabama","Sun Belt",401121948,"4011219489",TRUE,2,42,42,4,52,2,0,0,1,11,3,41,7,42,"TD",6
"Georgia State","Sun Belt","Arkansas State","Sun Belt",401121949,"4011219491",TRUE,1,25,75,15,0,1,100,0,9,41,5,19,12,75,"TD",6
"Arkansas State","Sun Belt","Georgia State","Sun Belt",401121949,"4011219492",FALSE,1,75,75,9,41,1,67,67,7,54,1,47,3,8,"PUNT",6
"Georgia State","Sun Belt","Arkansas State","Sun Belt",401121949,"4011219493",FALSE,1,14,86,7,54,1,46,54,5,12,2,42,7,32,"PUNT",6
"Arkansas State","Sun Belt","Georgia State","Sun Belt",401121949,"4011219494",FALSE,1,81,81,5,12,1,70,70,2,42,2,30,4,11,"PUNT",6
"Georgia State","Sun Belt","Arkansas State","Sun Belt",401121949,"4011219495",TRUE,1,11,89,2,42,2,100,0,14,55,2,47,8,89,"TD",6
"Arkansas State","Sun Belt","Georgia State","Sun Belt",401121949,"4011219496",FALSE,2,90,90,14,55,2,56,56,12,29,2,26,9,34,"PUNT",6
"Georgia State","Sun Belt","Arkansas State","Sun Belt",401121949,"4011219497",TRUE,2,20,80,12,29,2,100,0,8,56,3,33,8,80,"TD",6
"Arkansas State","Sun Belt","Georgia State","Sun Belt",401121949,"4011219498",TRUE,2,75,75,8,56,2,0,0,8,0,NA,56,3,75,"TD",6
"Georgia State","Sun Belt","Arkansas State","Sun Belt",401121949,"4011219499",TRUE,2,25,75,8,0,2,74,26,5,44,2,16,8,49,"FG",6
"Auburn","SEC","Florida","SEC",401110812,"40111081210",FALSE,1,35,35,0,0,2,39,39,14,13,NA,47,2,-4,"INT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081211",TRUE,2,82,18,14,13,2,100,0,13,28,NA,45,2,18,"TD",6
"Auburn","SEC","Florida","SEC",401110812,"40111081212",FALSE,2,75,75,13,28,2,66,66,11,29,1,59,3,9,"PUNT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081213",FALSE,2,27,73,11,29,2,34,66,10,30,NA,59,4,6,"DOWNS",6
"Auburn","SEC","Florida","SEC",401110812,"40111081214",TRUE,2,33,33,10,30,2,0,0,10,23,NA,7,1,32,"TD",6
"Florida","SEC","Auburn","SEC",401110812,"40111081215",TRUE,2,25,75,10,23,2,76,24,5,49,4,34,10,51,"FG",6
"Auburn","SEC","Florida","SEC",401110812,"40111081216",FALSE,2,75,75,5,49,2,67,67,3,44,2,5,3,8,"PUNT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081217",FALSE,2,20,80,3,44,2,30,70,1,38,2,6,5,10,"PUNT",6
"Auburn","SEC","Florida","SEC",401110812,"40111081218",FALSE,2,68,68,1,38,2,68,68,1,9,NA,29,3,0,"PUNT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081219",FALSE,2,32,68,1,9,2,33,67,0,0,1,9,4,1,"DOWNS",6
"Florida","SEC","Auburn","SEC",401110812,"40111081221",FALSE,3,25,75,15,0,3,45,55,12,18,2,42,6,20,"PUNT",6
"Auburn","SEC","Florida","SEC",401110812,"40111081222",FALSE,3,80,80,12,18,3,71,71,10,26,1,52,3,9,"PUNT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081223",FALSE,3,33,67,10,26,3,39,61,9,28,NA,58,3,6,"PUNT",6
"Auburn","SEC","Florida","SEC",401110812,"40111081224",FALSE,3,80,80,9,28,3,67,67,7,32,1,56,4,13,"PUNT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081225",FALSE,3,27,73,7,32,3,50,50,3,54,3,38,5,23,"PUNT",6
"Auburn","SEC","Florida","SEC",401110812,"40111081226",FALSE,3,95,95,3,54,3,15,15,0,30,3,24,9,80,"INT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081227",FALSE,3,20,80,0,30,4,80,20,11,28,4,2,7,51,"FUMBLE",6
"Auburn","SEC","Florida","SEC",401110812,"40111081228",FALSE,4,60,60,11,28,4,58,58,9,19,2,9,5,2,"PUNT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081229",TRUE,4,12,88,9,19,4,100,0,9,4,NA,15,1,88,"TD",6
"Auburn","SEC","Florida","SEC",401110812,"40111081230",FALSE,4,75,75,9,4,4,55,55,5,46,3,18,8,26,"DOWNS",6
"Florida","SEC","Auburn","SEC",401110812,"40111081231",FALSE,4,49,51,5,46,4,65,35,3,12,2,34,6,16,"PUNT",6
"Auburn","SEC","Florida","SEC",401110812,"40111081232",FALSE,4,90,90,3,12,4,68,68,2,30,NA,42,4,22,"INT",6
"Florida","SEC","Auburn","SEC",401110812,"40111081233",FALSE,4,47,53,2,30,4,52,48,0,2,2,28,3,5,"PUNT",6
"Auburn","SEC","Florida","SEC",401110812,"40111081234",FALSE,4,80,80,0,2,4,65,65,0,0,NA,2,1,15,"END OF GAME",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081310",FALSE,2,75,75,4,55,2,56,56,2,52,2,3,5,19,"PUNT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081311",FALSE,2,17,83,2,52,2,64,36,0,35,2,17,6,47,"PUNT",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081312",FALSE,2,80,80,0,35,2,81,81,0,0,NA,35,1,-1,"END OF HALF",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081313",FALSE,3,75,75,15,0,3,81,81,14,10,NA,50,3,-6,"PUNT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081314",TRUE,3,47,53,14,10,3,100,0,9,55,4,15,11,53,"TD",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081315",FALSE,3,75,75,9,55,3,55,55,8,16,1,39,4,20,"PUNT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081316",FALSE,3,20,80,8,16,3,71,29,5,3,3,13,8,61,"FUMBLE",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081317",FALSE,3,81,81,5,3,3,73,73,4,23,NA,40,3,8,"PUNT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081318",TRUE,3,37,63,4,23,3,100,0,2,54,1,29,4,63,"TD",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081319",FALSE,3,75,75,2,54,3,63,63,2,3,NA,51,3,12,"INT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081320",TRUE,3,56,44,2,3,4,100,0,13,23,3,40,7,44,"TD",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081321",FALSE,4,75,75,13,23,4,78,78,12,28,NA,55,3,-3,"INT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081322",FALSE,4,33,67,12,28,4,66,34,8,58,3,30,8,33,"MISSED FG",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081323",FALSE,4,65,65,8,58,4,63,63,7,39,1,19,3,2,"PUNT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081324",FALSE,4,25,75,7,39,4,34,66,5,28,2,11,3,9,"PUNT",6
"Utah State","Mountain West","LSU","SEC",401110813,"40111081325",FALSE,4,89,89,5,28,4,74,74,2,8,3,20,5,15,"PUNT",6
"LSU","SEC","Utah State","Mountain West",401110813,"40111081326",FALSE,4,40,60,2,8,4,50,50,0,0,2,8,3,10,"END OF GAME",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081410",FALSE,2,54,54,4,27,2,47,47,2,58,1,29,3,7,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081411",FALSE,2,20,80,2,58,2,62,38,0,52,2,6,9,42,"DOWNS",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081412",TRUE,2,62,62,0,52,2,25,25,15,0,NA,52,5,37,"FG",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081413",FALSE,3,75,75,15,0,3,60,60,12,52,2,8,5,15,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081414",TRUE,3,19,81,12,52,3,100,0,12,17,NA,35,2,81,"TD",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081415",FALSE,3,73,73,12,11,3,41,41,10,10,2,1,5,32,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081416",TRUE,3,8,92,10,10,3,100,0,9,3,1,7,3,92,"TD",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081417",FALSE,3,75,75,9,3,3,66,66,6,37,2,26,6,9,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081418",FALSE,3,15,85,6,37,3,35,65,4,11,2,26,4,20,"PUNT",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081419",FALSE,3,80,80,4,11,3,79,79,2,24,1,47,3,1,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081420",FALSE,3,36,64,2,24,3,45,55,0,53,1,31,3,9,"PUNT",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081421",FALSE,3,85,85,0,53,4,54,54,13,15,2,38,7,31,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081422",FALSE,4,20,80,13,15,4,33,67,9,55,3,20,6,13,"PUNT",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081423",FALSE,4,76,76,9,55,4,76,76,9,25,NA,30,3,0,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081424",TRUE,4,31,69,9,25,4,100,0,4,29,4,56,8,69,"TD",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081425",FALSE,4,75,75,4,29,4,74,74,3,10,1,19,3,1,"PUNT",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081426",FALSE,4,26,74,3,10,4,33,67,2,0,1,10,3,7,"PUNT",6
"Vanderbilt","SEC","Ole Miss","SEC",401110814,"40111081427",FALSE,4,74,74,2,0,4,35,35,0,5,1,55,8,39,"DOWNS",6
"Ole Miss","SEC","Vanderbilt","SEC",401110814,"40111081428",FALSE,4,35,65,0,5,4,33,67,0,0,NA,5,1,-2,"END OF GAME",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081510",FALSE,2,16,84,12,20,2,52,48,8,59,3,21,7,36,"PUNT",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081511",FALSE,2,92,92,8,59,2,77,77,8,8,NA,51,2,15,"INT",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081512",TRUE,2,99,1,8,8,2,100,0,7,57,NA,11,1,1,"TD",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081513",TRUE,2,75,75,7,57,2,71,71,6,13,1,44,3,4,"INT TD",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081515",FALSE,2,74,74,6,13,2,70,70,6,3,NA,10,0,4,"FUMBLE",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081516",FALSE,2,70,30,6,3,2,66,34,4,25,1,38,6,-4,"MISSED FG",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081517",FALSE,2,66,66,4,25,2,64,64,3,23,1,2,3,2,"PUNT",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081518",TRUE,2,45,55,3,23,2,100,0,1,12,2,11,7,55,"TD",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081519",FALSE,2,75,75,1,12,2,67,67,0,0,1,12,3,8,"END OF HALF",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081520",FALSE,3,25,75,15,0,3,53,47,11,39,3,21,6,28,"PUNT",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081521",TRUE,3,90,90,11,39,3,26,26,4,55,6,44,14,64,"FG",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081522",FALSE,3,19,81,4,49,3,44,56,2,43,2,6,5,25,"PUNT",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081523",FALSE,3,90,90,2,43,4,56,56,14,5,3,38,7,34,"PUNT",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081524",FALSE,4,30,70,14,5,4,68,32,7,39,6,26,10,38,"MISSED FG",6
"Troy","Sun Belt","Missouri","SEC",401110815,"40111081525",FALSE,4,68,68,7,39,4,40,40,1,44,5,55,9,28,"DOWNS",6
"Missouri","SEC","Troy","Sun Belt",401110815,"40111081526",FALSE,4,40,60,1,44,4,60,40,0,0,1,44,3,20,"END OF GAME",6
"Georgia","SEC","Tennessee","SEC",401110816,"40111081610",TRUE,2,60,60,4,2,2,0,0,1,59,2,3,6,60,"TD",6
"Tennessee","SEC","Georgia","SEC",401110816,"40111081611",FALSE,2,1,99,1,59,2,70,30,0,59,1,NA,6,45,"MISSED FG",6
"Georgia","SEC","Tennessee","SEC",401110816,"40111081612",TRUE,2,70,70,0,59,2,0,0,0,9,NA,50,5,70,"TD",6
"Tennessee","SEC","Georgia","SEC",401110816,"40111081613",FALSE,2,4,96,0,9,2,25,75,0,0,NA,9,2,0,"END OF HALF",6
"Georgia","SEC","Tennessee","SEC",401110816,"40111081614",FALSE,3,75,75,15,0,3,70,70,12,22,2,38,3,5,"PUNT",6
"Tennessee","SEC","Georgia","SEC",401110816,"40111081615",FALSE,3,17,83,12,22,3,13,87,10,37,1,45,3,-4,"PUNT",6
"Georgia","SEC","Tennessee","SEC",401110816,"40111081616",TRUE,3,53,53,10,37,3,10,10,7,3,3,34,7,44,"FG",6
"Tennessee","SEC","Georgia","SEC",401110816,"40111081617",FALSE,3,1,99,7,3,3,49,51,4,35,2,28,6,24,"INT",6
"Georgia","SEC","Tennessee","SEC",401110816,"40111081618",FALSE,3,78,78,4,35,3,39,39,1,27,3,8,7,39,"DOWNS",6
"Tennessee","SEC","Georgia","SEC",401110816,"40111081619",FALSE,3,39,61,1,27,4,44,56,14,6,2,21,3,5,"PUNT",6
"Georgia","SEC","Tennessee","SEC",401110816,"40111081620",TRUE,4,75,75,14,6,4,0,0,8,2,6,4,10,75,"TD",6
"Tennessee","SEC","Georgia","SEC",401110816,"40111081621",TRUE,4,25,75,8,2,4,70,30,4,39,3,23,8,35,"FUMBLE TD",6
"Tennessee","SEC","Georgia","SEC",401110816,"40111081622",FALSE,4,25,75,4,39,4,95,5,0,52,3,47,11,70,"DOWNS",6
"Georgia","SEC","Tennessee","SEC",401110816,"40111081623",FALSE,4,95,95,0,52,4,98,98,0,0,NA,52,2,-3,"END OF 4TH QUARTER",6
"Kansas State","Big 12","Baylor","Big 12",401112077,"40111207710",FALSE,2,25,75,6,38,2,27,73,5,3,1,35,3,2,"PUNT",6
"Baylor","Big 12","Kansas State","Big 12",401112077,"40111207711",FALSE,2,70,70,5,3,2,70,70,3,33,1,30,3,0,"PUNT",6
"Kansas State","Big 12","Baylor","Big 12",401112077,"40111207712",FALSE,2,32,68,3,33,2,53,47,1,13,2,20,4,21,"PUNT",6
"Baylor","Big 12","Kansas State","Big 12",401112077,"40111207713",FALSE,2,79,79,1,13,2,80,80,0,0,1,13,2,-1,"END OF HALF",6
"Kansas State","Big 12","Baylor","Big 12",401112077,"40111207714",FALSE,3,35,65,15,0,3,42,58,13,36,1,24,3,7,"PUNT",6
