"offense","offense_conference","defense","defense_conference","game_id","id","scoring","start_period","start_yardline","start_yards_to_goal","start_time.minutes","start_time.seconds","end_period","end_yardline","end_yards_to_goal","end_time.minutes","end_time.seconds","elapsed.minutes","elapsed.seconds","plays","yards","drive_result","week"
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072821",FALSE,4,25,75,13,29,4,34,66,11,20,2,9,3,9,"PUNT",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072822",FALSE,4,98,98,11,20,4,97,97,10,25,NA,55,3,1,"PUNT",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072823",TRUE,4,59,41,10,25,4,97,3,7,1,3,24,9,38,"FG",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072824",TRUE,4,75,75,7,1,4,0,0,6,19,NA,42,3,75,"TD",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072825",FALSE,4,25,75,6,19,4,42,58,2,19,4,NA,7,17,"PUNT",1
"Missouri","SEC","Wyoming","Mountain West",401110728,"40111072826",FALSE,4,75,75,2,19,4,26,26,0,29,1,50,10,49,"DOWNS",1
"Wyoming","Mountain West","Missouri","SEC",401110728,"40111072827",FALSE,4,26,74,0,29,4,24,76,0,0,NA,29,1,-2,"END OF GAME",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072910",FALSE,2,37,63,0,39,2,42,58,0,17,NA,22,3,5,"PUNT",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072911",FALSE,2,67,67,0,17,2,68,68,0,0,NA,17,1,-1,"END OF HALF",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072912",FALSE,3,25,75,15,0,3,16,84,14,2,NA,58,3,-9,"PUNT",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072913",FALSE,3,72,72,14,2,3,54,54,12,18,1,44,4,18,"PUNT",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072914",TRUE,3,42,58,12,18,3,95,5,7,55,4,23,10,53,"FG",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072915",TRUE,3,36,36,7,55,3,0,0,5,10,2,45,6,36,"TD",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072916",FALSE,3,25,75,5,10,3,54,46,4,6,1,4,4,17,"FUMBLE",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072917",FALSE,3,42,42,4,6,3,38,38,1,47,2,19,3,4,"PUNT",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072918",TRUE,3,2,98,1,47,4,100,0,14,27,2,20,7,98,"TD",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072919",FALSE,4,76,76,14,27,4,51,51,11,43,2,44,5,25,"PUNT",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072920",TRUE,4,5,95,11,43,4,100,0,8,26,3,17,7,95,"TD",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072921",FALSE,4,75,75,8,26,4,83,83,6,57,1,29,3,-8,"PUNT",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072922",FALSE,4,25,75,6,57,4,33,67,4,22,2,35,4,8,"PUNT",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072923",FALSE,4,77,77,4,22,4,57,57,2,47,1,35,5,20,"INT",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072924",FALSE,4,25,75,2,47,4,30,70,2,19,NA,28,3,5,"PUNT",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072925",FALSE,4,37,37,2,19,4,26,26,1,43,NA,36,4,11,"INT",1
"North Carolina","ACC","South Carolina","SEC",401110729,"40111072926",FALSE,4,54,46,1,43,4,50,50,0,11,1,32,4,-7,"DOWNS",1
"South Carolina","SEC","North Carolina","ACC",401110729,"40111072927",FALSE,4,47,47,0,11,4,57,57,0,0,NA,11,1,-10,"END OF 4TH QUARTER",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073010",TRUE,3,75,75,15,0,3,0,0,10,30,4,30,9,75,"TD",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"40111073011",FALSE,3,37,63,10,22,3,58,42,7,35,2,47,6,21,"DOWNS",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073012",FALSE,3,58,58,7,35,3,61,61,6,33,1,2,3,-3,"PUNT",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"40111073013",TRUE,3,50,50,6,33,3,69,31,3,32,3,1,7,19,"FG",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073014",FALSE,3,75,75,3,32,4,24,24,14,21,4,11,12,51,"FUMBLE",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"40111073015",TRUE,4,24,76,14,21,4,86,14,12,5,2,16,5,62,"FG",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073016",TRUE,4,75,75,12,5,4,0,0,8,56,3,9,9,75,"TD",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"40111073017",FALSE,4,25,75,8,56,4,39,61,7,10,1,46,4,14,"FUMBLE",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073018",TRUE,4,39,39,7,10,4,0,0,4,45,2,25,5,39,"TD",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"40111073019",FALSE,4,25,75,4,39,4,18,82,4,14,NA,25,2,-7,"INT",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073020",TRUE,4,36,36,4,14,4,31,31,2,37,1,37,4,5,"FG",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"40111073021",FALSE,4,25,75,2,37,4,32,68,1,52,NA,45,4,7,"DOWNS",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073022",FALSE,4,32,32,1,52,4,31,31,0,55,NA,57,4,1,"DOWNS",1
"Tennessee","SEC","Georgia State","Sun Belt",401110730,"40111073023",TRUE,4,31,69,0,55,4,100,0,0,2,NA,53,5,69,"TD",1
"Georgia State","Sun Belt","Tennessee","SEC",401110730,"40111073024",FALSE,4,46,46,0,1,4,53,53,0,0,NA,1,1,-7,"END OF GAME",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073110",FALSE,2,75,75,7,25,2,50,50,5,17,2,8,8,25,"INT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073111",TRUE,2,58,42,5,17,2,100,0,3,5,2,12,5,42,"TD",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073112",FALSE,2,75,75,3,5,2,63,63,2,8,NA,57,3,12,"INT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073113",FALSE,2,75,25,2,8,2,87,13,0,37,1,31,3,24,"FUMBLE",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073114",FALSE,2,99,99,0,37,2,66,66,0,0,NA,37,4,33,"END OF HALF",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073115",FALSE,3,76,76,15,0,3,73,73,13,2,1,58,4,3,"PUNT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073116",FALSE,3,46,54,13,2,3,93,7,8,10,4,52,9,47,"INT",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073117",FALSE,3,87,87,8,10,3,87,87,7,58,NA,12,1,0,"INT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073118",TRUE,3,70,30,7,58,3,95,5,3,37,4,21,8,25,"FG",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073119",FALSE,3,75,75,3,37,3,39,39,1,18,2,19,7,36,"PUNT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073120",TRUE,3,6,94,1,18,4,100,0,14,55,1,23,4,94,"TD",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073121",FALSE,4,75,75,14,55,4,57,57,12,36,2,19,5,18,"PUNT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073122",FALSE,4,26,74,12,36,4,26,74,11,52,NA,44,3,0,"PUNT",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073123",FALSE,4,81,81,11,52,4,76,76,9,48,2,4,3,5,"PUNT",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073124",TRUE,4,43,57,9,48,4,91,9,4,57,4,51,10,48,"FG",1
"Texas State","Sun Belt","Texas A&M","SEC",401110731,"40111073125",TRUE,4,84,84,4,57,4,0,0,0,36,4,21,11,84,"TD",1
"Texas A&M","SEC","Texas State","Sun Belt",401110731,"40111073126",FALSE,4,35,65,0,36,4,47,53,0,0,NA,36,2,12,"END OF 4TH QUARTER",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"40111073210",FALSE,3,25,75,15,0,3,38,62,13,11,1,49,5,13,"PUNT",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"40111073211",TRUE,3,88,88,13,11,3,32,32,7,48,5,23,8,56,"FG",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"40111073212",FALSE,3,25,75,7,48,3,25,75,5,59,1,49,3,0,"PUNT",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"40111073213",FALSE,3,45,45,5,59,3,17,17,3,8,2,51,6,25,"DOWNS",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"40111073214",FALSE,3,20,80,3,8,3,26,74,1,39,1,29,3,6,"PUNT",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"40111073215",FALSE,3,79,79,1,39,4,55,55,14,10,2,29,5,24,"PUNT",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"40111073216",FALSE,4,12,88,14,10,4,5,95,12,2,2,8,3,-7,"PUNT",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"40111073217",FALSE,4,54,54,12,2,4,36,36,10,19,1,43,3,49,"FUMBLE",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"40111073218",FALSE,4,17,83,10,19,4,17,83,9,41,NA,38,3,0,"PUNT",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"40111073219",TRUE,4,39,39,9,41,4,19,19,7,20,2,21,5,20,"FG",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"40111073220",FALSE,4,24,76,7,20,4,49,51,5,36,1,44,5,21,"FUMBLE",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"40111073221",TRUE,4,45,45,5,36,4,14,14,2,13,3,23,8,31,"FG",1
"Vanderbilt","SEC","Georgia","SEC",401110732,"40111073222",FALSE,4,25,75,2,13,4,82,18,0,46,1,27,9,57,"DOWNS",1
"Georgia","SEC","Vanderbilt","SEC",401110732,"40111073223",FALSE,4,82,82,0,46,4,83,83,0,0,NA,46,1,-1,"END OF GAME",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165310",TRUE,2,86,14,12,49,2,100,0,12,45,NA,4,1,14,"TD",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165311",FALSE,2,75,75,12,45,2,36,36,8,56,3,49,8,39,"DOWNS",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165312",FALSE,2,36,64,8,56,2,39,61,8,19,NA,37,2,3,"INT",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165313",FALSE,2,2,2,8,19,2,1,1,6,35,1,44,4,1,"INT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165314",TRUE,2,6,94,6,35,2,100,0,4,34,2,1,5,94,"TD",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165315",FALSE,2,75,75,4,34,2,71,71,2,12,2,22,5,4,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165316",FALSE,2,20,80,2,12,2,40,60,1,0,1,12,4,20,"PUNT",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165317",FALSE,2,75,75,1,0,2,74,74,0,32,NA,28,3,1,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165318",FALSE,2,32,68,0,32,2,32,68,0,0,NA,32,4,0,"FUMBLE",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165320",FALSE,3,75,75,15,0,3,86,86,13,11,1,49,3,-11,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165321",TRUE,3,40,60,13,11,3,100,0,12,42,NA,29,2,60,"TD",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165322",TRUE,3,75,75,12,42,3,0,0,11,40,1,2,3,75,"TD",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165323",TRUE,3,23,77,11,40,3,100,0,8,8,3,32,8,77,"TD",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165324",FALSE,3,84,84,8,8,3,73,73,6,21,1,47,4,11,"INT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165325",FALSE,3,79,21,6,21,3,85,15,4,23,1,58,4,6,"DOWNS",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165326",FALSE,3,85,85,4,23,3,81,81,3,7,1,16,3,4,"PUNT",1
"Clemson","ACC","Georgia Tech","ACC",401111653,"40111165327",TRUE,3,33,67,3,7,4,100,0,14,54,3,13,7,67,"TD",1
"Georgia Tech","ACC","Clemson","ACC",401111653,"40111165328",TRUE,4,90,90,14,54,4,0,0,10,33,4,21,9,90,"TD",1
